Campaign,Ad Group,Ad type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Description 1,Description 2,Description 3,Description 4,Description 1 position,Labels
DE-Transactional,family-children,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/de/apply?utm_source=google&utm_medium=cpc&utm_campaign=de-transactional&utm_content=family-children,family,arrival-card,Einreisekarten für die Familie,Eine Karte pro Person,Kinder & Babys inklusive,"14,90 $ je weitere Person",Gruppen bis 10 Reisende,Keine Passnummer-Fehler,Alle QR-Codes in einer Mail,Privater Assistenzdienst,Keine Regierungswebsite,"Ab 24,90 $ pro Reisenden",Preis vor der Eingabe sichtbar,Von Menschen geprüft,Gratis 72-Stunden-Erinnerung,Support 07–23 Uhr Jakarta,Erstattung bei Verspätung,1,"Privater Assistenzdienst, mit keiner Regierungswebsite verbunden. Preis zuerst sichtbar.","Eine Einreisekarte pro Person, auch für Babys. Erste Person 24,90 $, jede weitere 14,90 $.","Alle Karten aus einem Formular, alle QR-Codes in einer E-Mail. Keine Passnummer-Fehler.","Ein Mensch prüft jedes Feld, reicht im 72-Stunden-Fenster ein und mailt Ihnen den QR-Code.",1,mode-A-authorized-only
DE-Informational,how-to-fill,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/de/reminder?utm_source=google&utm_medium=cpc&utm_campaign=de-informational&utm_content=how-to-fill,guide,72-hours,So füllen Sie die Karte aus,72-Stunden-Regel erklärt,"Wir mailen, wenn es losgeht",Jede Frage erklärt,Portal & App erklärt,Gesundheit & Zoll erklärt,Jetzt Gratis-Erinnerung setzen,Privater Assistenzdienst,Keine Regierungswebsite,Gratis Schritt-für-Schritt,Gratis 72-Stunden-Erinnerung,Stand September 2026,Link zum offiziellen Portal,"Kein Konto, keine Zahlung",Verständlich erklärt,1,"Privater Assistenzdienst, mit keiner Regierungswebsite verbunden. Gratis-Leitfaden.","Leitfaden Einreisekarte Indonesien: was Sie brauchen, die 72-Stunden-Regel, jede Frage.","Gratis-Erinnerung für Ihr Datum. Maximal zwei E-Mails, kein Konto, Abmeldung per Klick.","Das Portal öffnet erst 72 h vor Ankunft. Wir mailen, sobald Ihr Fenster offen ist.",1,mode-B-informational
DE-Informational,app-problems,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/de/guide?utm_source=google&utm_medium=cpc&utm_campaign=de-informational&utm_content=app-problems,guide,app-fixes,All Indonesia App geht nicht?,QR-Code nicht erhalten?,10 Probleme und Lösungen,Falsches Datum? Das hilft,Verlorenen QR-Code abrufen,App stürzt ab? Website nutzen,Login- & E-Mail-Probleme,Privater Assistenzdienst,Keine Regierungswebsite,Gratis Schritt-für-Schritt,Gratis 72-Stunden-Erinnerung,Stand September 2026,Link zum offiziellen Portal,"Kein Konto, keine Zahlung",Verständlich erklärt,1,"Privater Assistenzdienst, mit keiner Regierungswebsite verbunden. Gratis-Leitfaden.","App stürzt ab, kein QR-Code, falsches Datum, Login-Schleife: zehn Probleme und Lösungen.","Gratis-Leitfaden, Stand September 2026, mit Links zum offiziellen Portal und Abrufseite.","Das Portal öffnet erst 72 h vor Ankunft. Wir mailen, sobald Ihr Fenster offen ist.",1,mode-B-informational
DE-Informational,customs-declaration,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/de/customs?utm_source=google&utm_medium=cpc&utm_campaign=de-informational&utm_content=customs-declaration,customs,allowances,Zollerklärung Indonesien,Was Sie anmelden müssen,500-USD-Freigrenze erklärt,Alkohol- & Tabaklimits,100-Mio-IDR-Bargeldregel,IMEI-Registrierung Handy,Schnellcheck: anmelden?,Privater Assistenzdienst,Keine Regierungswebsite,Gratis Schritt-für-Schritt,Gratis 72-Stunden-Erinnerung,Stand September 2026,Link zum offiziellen Portal,"Kein Konto, keine Zahlung",Verständlich erklärt,1,"Privater Assistenzdienst, mit keiner Regierungswebsite verbunden. Gratis-Leitfaden.","Zollregeln: 500 USD Waren, 1 L Alkohol, 200 Zigaretten, Bargeld ab 100 Mio. IDR anmelden.",Schnellcheck: anmelden oder nicht. Plus IMEI-Registrierung für Handys über 90 Tage.,"Das Portal öffnet erst 72 h vor Ankunft. Wir mailen, sobald Ihr Fenster offen ist.",1,mode-B-informational
DE-Informational,transit,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/de/reminder?utm_source=google&utm_medium=cpc&utm_campaign=de-informational&utm_content=transit,transit,arrival-card,Einreisekarte bei Transit,Nötig beim Umsteigen?,Auch Kreuzfahrt & Fähre,Fähre Batam: Karte nötig,Umsteigen in Jakarta oder Bali,Regeln einfach erklärt,Erinnerung für Ihr Datum,Privater Assistenzdienst,Keine Regierungswebsite,Gratis Schritt-für-Schritt,Gratis 72-Stunden-Erinnerung,Stand September 2026,Link zum offiziellen Portal,"Kein Konto, keine Zahlung",Verständlich erklärt,1,"Privater Assistenzdienst, mit keiner Regierungswebsite verbunden. Gratis-Leitfaden.","Transit, Kreuzfahrt oder Fähre: wann die Einreisekarte nötig ist und wann nicht.","Wir mailen, wenn Ihr 72-Stunden-Fenster öffnet. Gratis, keine Zahlung jetzt.","Das Portal öffnet erst 72 h vor Ankunft. Wir mailen, sobald Ihr Fenster offen ist.",1,mode-B-informational
ZH-Transactional,arrival-card-generic,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/zh/apply?utm_source=google&utm_medium=cpc&utm_campaign=zh-transactional&utm_content=arrival-card-generic,arrival-card,assistance,印尼入境卡協助,為您準備入境卡,逐項核對每個欄位,12小時內送達,QR碼電郵寄給您,結帳無隱藏費用,家庭與團體價格,私營協助服務,非政府網站,每人$24.90起,填寫前先看價格,專人逐項核對,免費72小時提醒,客服每日07–23時,逾時未送達全額退款,1,私營協助服務，與任何政府網站均無關聯。填寫任何資料前先看到價格。,入境卡協助每人$24.90起，每加一人$14.90。無隱藏費用，逾時未送達全額退款。,中文引導表單。護照、航班、健康與海關申報，提交前逐項核對。,專人逐項核對，於72小時窗口內提交，並將QR碼電郵給您。,1,mode-A-authorized-only
ZH-Transactional,bali-arrival-card,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/zh/apply?utm_source=google&utm_medium=cpc&utm_campaign=zh-transactional&utm_content=bali-arrival-card,bali,arrival-card,峇里島入境卡協助,飛峇里島？入境卡代辦,峇里島入境卡已核對,起飛前收到QR碼,2小時內加急選項,手機即可完成,峇里島、雅加達皆可,私營協助服務,非政府網站,每人$24.90起,填寫前先看價格,專人逐項核對,免費72小時提醒,客服每日07–23時,逾時未送達全額退款,1,私營協助服務，與任何政府網站均無關聯。填寫任何資料前先看到價格。,飛往峇里島？我們為您準備並核對入境卡，落地前將QR碼電郵給您。,每人$24.90起。加急2小時內送達。客服每日07:00–23:00（雅加達時間）。,專人逐項核對，於72小時窗口內提交，並將QR碼電郵給您。,1,mode-A-authorized-only
ZH-Transactional,evoa,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/zh/evoa?utm_source=google&utm_medium=cpc&utm_campaign=zh-transactional&utm_content=evoa,evoa,assistance,印尼e-VOA申請協助,e-VOA $70.90含費用,簽證費50萬印尼盾另列,最早可提前90天申請,護照與照片核對,30天，可延長一次,與入境卡一併辦理,私營協助服務,非政府網站,每人$24.90起,填寫前先看價格,專人逐項核對,免費72小時提醒,客服每日07–23時,逾時未送達全額退款,1,私營協助服務，與任何政府網站均無關聯。填寫任何資料前先看到價格。,e-VOA協助每人$70.90：服務費$39.90加政府簽證費50萬印尼盾，分項列出。,核對護照效期與照片，代為提交e-VOA並電郵核准函。30天，可延長一次。,專人逐項核對，於72小時窗口內提交，並將QR碼電郵給您。,1,mode-A-authorized-only
ZH-Transactional,family-children,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/zh/apply?utm_source=google&utm_medium=cpc&utm_campaign=zh-transactional&utm_content=family-children,family,arrival-card,全家人的入境卡,每人一張，我們代辦,含兒童與嬰兒,每加一人$14.90,最多10人團體,不會抄錯護照號碼,所有QR碼一封電郵,私營協助服務,非政府網站,每人$24.90起,填寫前先看價格,專人逐項核對,免費72小時提醒,客服每日07–23時,逾時未送達全額退款,1,私營協助服務，與任何政府網站均無關聯。填寫任何資料前先看到價格。,每人一張入境卡，嬰兒也需要。第一位旅客$24.90，每加一人$14.90。,一份表單準備全家的入境卡，所有QR碼一封電郵寄出。不會抄錯護照號碼。,專人逐項核對，於72小時窗口內提交，並將QR碼電郵給您。,1,mode-A-authorized-only
ZH-Informational,how-to-fill,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/zh/reminder?utm_source=google&utm_medium=cpc&utm_campaign=zh-informational&utm_content=how-to-fill,guide,72-hours,印尼入境卡怎麼填,何時申請：72小時規則,窗口開啟時電郵通知您,每個問題都有說明,網站與App逐步教學,健康與海關欄位說明,立即設定免費提醒,私營協助服務,非政府網站,免費逐步教學,免費72小時提醒,2026年9月更新,附官方入口網站連結,免註冊免付款,淺白說明每個問題,1,私營協助服務，與任何政府網站均無關聯。免費教學與免費提醒。,印尼入境卡逐步教學：需要什麼、72小時規則、每一項申報說明。,留下抵達日期即可設定免費提醒。最多兩封電郵，免註冊，一鍵取消。,官方系統只接受抵達前72小時內的申請。您的窗口一開啟，我們即電郵通知。,1,mode-B-informational
ZH-Informational,app-problems,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/zh/guide?utm_source=google&utm_medium=cpc&utm_campaign=zh-informational&utm_content=app-problems,guide,app-fixes,All Indonesia無法使用？,收不到QR碼？解法,10個常見問題與解法,日期填錯？這樣處理,找回遺失的QR碼,App閃退？改用網頁版,登入迴圈與電郵問題,私營協助服務,非政府網站,免費逐步教學,免費72小時提醒,2026年9月更新,附官方入口網站連結,免註冊免付款,淺白說明每個問題,1,私營協助服務，與任何政府網站均無關聯。免費教學與免費提醒。,All Indonesia閃退、收不到QR碼、日期填錯、登入迴圈：十個常見問題與解法。,免費教學，2026年9月更新，附官方入口網站與補領頁面連結。,官方系統只接受抵達前72小時內的申請。您的窗口一開啟，我們即電郵通知。,1,mode-B-informational
ZH-Informational,customs-declaration,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/zh/customs?utm_source=google&utm_medium=cpc&utm_campaign=zh-informational&utm_content=customs-declaration,customs,allowances,印尼海關申報說明,哪些物品必須申報,500美元免稅額說明,酒類與菸草限額,現金1億印尼盾規定,手機IMEI登記,快速檢查要不要申報,私營協助服務,非政府網站,免費逐步教學,免費72小時提醒,2026年9月更新,附官方入口網站連結,免註冊免付款,淺白說明每個問題,1,私營協助服務，與任何政府網站均無關聯。免費教學與免費提醒。,印尼入境海關規定：物品500美元、酒類1公升、香菸200支、現金1億印尼盾以上須申報。,快速計算器告訴您是否需要申報。另附使用超過90天手機的IMEI登記說明。,官方系統只接受抵達前72小時內的申請。您的窗口一開啟，我們即電郵通知。,1,mode-B-informational
ZH-Informational,transit,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/zh/reminder?utm_source=google&utm_medium=cpc&utm_campaign=zh-informational&utm_content=transit,transit,arrival-card,轉機也要入境卡嗎,過境需要填嗎？,郵輪與渡輪入境,巴淡渡輪：須填入境卡,雅加達或峇里島轉機,規則淺白說明,為您的日期免費提醒,私營協助服務,非政府網站,免費逐步教學,免費72小時提醒,2026年9月更新,附官方入口網站連結,免註冊免付款,淺白說明每個問題,1,私營協助服務，與任何政府網站均無關聯。免費教學與免費提醒。,轉機、郵輪或渡輪入境印尼：何時需要入境卡，何時不需要。,為您的抵達日期設定免費提醒。72小時窗口開啟時電郵通知。現在不需付款。,官方系統只接受抵達前72小時內的申請。您的窗口一開啟，我們即電郵通知。,1,mode-B-informational
FR-Transactional,arrival-card-generic,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/fr/apply?utm_source=google&utm_medium=cpc&utm_campaign=fr-transactional&utm_content=arrival-card-generic,arrival-card,assistance,Aide carte d'arrivée Indonésie,Carte d'arrivée préparée,Chaque champ est vérifié,Livrée en moins de 12 heures,QR code envoyé par e-mail,Aucun frais caché,Tarif famille et groupe,Service d'assistance privé,Pas un site du gouvernement,"Dès 24,90 $ par voyageur",Prix affiché avant de saisir,Vérifié par une personne,Rappel gratuit fenêtre 72 h,Support 7h–23h heure Jakarta,Remboursé si livré en retard,1,"Service d'assistance privé, sans lien avec un site gouvernemental. Prix affiché d'abord.","Assistance dès 24,90 $ par voyageur, 14,90 $ par voyageur en plus. Aucun frais caché.","Formulaire guidé en français. Passeport, vol, santé et douane vérifiés avant l'envoi.","Une personne vérifie chaque champ, soumet dans la fenêtre de 72 h et vous envoie le QR.",1,mode-A-authorized-only
FR-Transactional,bali-arrival-card,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/fr/apply?utm_source=google&utm_medium=cpc&utm_campaign=fr-transactional&utm_content=bali-arrival-card,bali,arrival-card,Aide carte d'arrivée Bali,Vol pour Bali ? Carte préparée,Carte d'arrivée Bali vérifiée,QR code avant votre vol,Option express sous 2 heures,Fonctionne sur mobile,"Bali, Jakarta, tous aéroports",Service d'assistance privé,Pas un site du gouvernement,"Dès 24,90 $ par voyageur",Prix affiché avant de saisir,Vérifié par une personne,Rappel gratuit fenêtre 72 h,Support 7h–23h heure Jakarta,Remboursé si livré en retard,1,"Service d'assistance privé, sans lien avec un site gouvernemental. Prix affiché d'abord.","Vol pour Bali ? Carte d'arrivée préparée et vérifiée, QR envoyé avant l'atterrissage.","Dès 24,90 $ par voyageur. Livraison express sous 2 h. Support 7h–23h heure de Jakarta.","Une personne vérifie chaque champ, soumet dans la fenêtre de 72 h et vous envoie le QR.",1,mode-A-authorized-only
FR-Transactional,evoa,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/fr/evoa?utm_source=google&utm_medium=cpc&utm_campaign=fr-transactional&utm_content=evoa,evoa,assistance,Assistance e-VOA Indonésie,"e-VOA dès 70,90 $ frais inclus",Frais visa 500 000 IDR à part,Jusqu'à 90 jours à l'avance,Passeport et photo vérifiés,"30 jours, prolongeable 1 fois",Pack avec carte d'arrivée,Service d'assistance privé,Pas un site du gouvernement,"Dès 24,90 $ par voyageur",Prix affiché avant de saisir,Vérifié par une personne,Rappel gratuit fenêtre 72 h,Support 7h–23h heure Jakarta,Remboursé si livré en retard,1,"Service d'assistance privé, sans lien avec un site gouvernemental. Prix affiché d'abord.","e-VOA 70,90 $ par voyageur : 39,90 $ de service plus 500 000 IDR de frais de visa.","Passeport et photo vérifiés, e-VOA déposé, approbation par e-mail. 30 jours, extensible.","Une personne vérifie chaque champ, soumet dans la fenêtre de 72 h et vous envoie le QR.",1,mode-A-authorized-only
FR-Transactional,family-children,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/fr/apply?utm_source=google&utm_medium=cpc&utm_campaign=fr-transactional&utm_content=family-children,family,arrival-card,Cartes pour toute la famille,Une carte par voyageur,Enfants et bébés inclus,"14,90 $ par voyageur en plus",Groupes jusqu'à 10 voyageurs,Sans erreur de passeport,Tous les QR dans un e-mail,Service d'assistance privé,Pas un site du gouvernement,"Dès 24,90 $ par voyageur",Prix affiché avant de saisir,Vérifié par une personne,Rappel gratuit fenêtre 72 h,Support 7h–23h heure Jakarta,Remboursé si livré en retard,1,"Service d'assistance privé, sans lien avec un site gouvernemental. Prix affiché d'abord.","Une carte par personne, bébés compris. Premier voyageur 24,90 $, chaque suivant 14,90 $.","Toutes les cartes en un formulaire, tous les QR dans un e-mail. Sans erreur de passeport.","Une personne vérifie chaque champ, soumet dans la fenêtre de 72 h et vous envoie le QR.",1,mode-A-authorized-only
FR-Informational,how-to-fill,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/fr/reminder?utm_source=google&utm_medium=cpc&utm_campaign=fr-informational&utm_content=how-to-fill,guide,72-hours,Comment remplir la carte,Quand faire la demande : 72 h,On vous écrit à l'ouverture,Chaque question expliquée,"Portail et appli, pas à pas",Sections santé et douane,Créez un rappel gratuit,Service d'assistance privé,Pas un site du gouvernement,Guide gratuit pas à pas,Rappel gratuit fenêtre 72 h,Mis à jour septembre 2026,Lien vers le portail officiel,Sans compte ni paiement,Expliqué en langage clair,1,"Service d'assistance privé, sans lien avec un site gouvernemental. Guide gratuit.","Guide pas à pas de la carte d'arrivée : documents, règle des 72 h, chaque déclaration.","Rappel gratuit pour votre date. Deux e-mails au plus, sans compte, retrait en un clic.",Le portail n'accepte la carte que 72 h avant l'arrivée. On vous écrit dès l'ouverture.,1,mode-B-informational
FR-Informational,app-problems,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/fr/guide?utm_source=google&utm_medium=cpc&utm_campaign=fr-informational&utm_content=app-problems,guide,app-fixes,Appli All Indonesia en panne ?,QR code non reçu ? Solutions,"10 problèmes, 10 solutions",Mauvaise date ? Que faire,Récupérer un QR code perdu,L'appli plante ? Le site web,"Boucle de connexion, e-mails",Service d'assistance privé,Pas un site du gouvernement,Guide gratuit pas à pas,Rappel gratuit fenêtre 72 h,Mis à jour septembre 2026,Lien vers le portail officiel,Sans compte ni paiement,Expliqué en langage clair,1,"Service d'assistance privé, sans lien avec un site gouvernemental. Guide gratuit.","Appli qui plante, QR non reçu, mauvaise date, boucle de connexion : dix problèmes résolus.","Guide gratuit mis à jour en septembre 2026, avec liens vers le portail officiel.",Le portail n'accepte la carte que 72 h avant l'arrivée. On vous écrit dès l'ouverture.,1,mode-B-informational
